months,race,contrabn,stops,month_tot,race_prop
2007-11-01,W,0,3712,3963.0,0.9366641433257633
2007-11-01,W,1,251,3963.0,0.06333585667423669
2007-12-01,A,0,1043,1043.0,1.0
2007-12-01,B,0,15264,15933.0,0.9580116738843909
2007-12-01,B,1,669,15933.0,0.04198832611560911
2007-12-01,H,0,8705,8766.0,0.9930412959160393
2007-12-01,H,1,61,8766.0,0.006958704083960757
2007-12-01,W,0,3167,3167.0,1.0
2008-01-01,A,0,1616,1616.0,1.0
2008-01-01,B,0,25759,26664.0,0.9660591059105911
2008-01-01,B,1,905,26664.0,0.03394089408940894
2008-01-01,H,0,14794,15598.0,0.9484549301192461
2008-01-01,H,1,804,15598.0,0.05154506988075394
2008-01-01,W,0,4877,4877.0,1.0
2008-02-01,A,0,1549,1549.0,1.0
2008-02-01,B,0,21816,23974.0,0.9099858179694669
2008-02-01,B,1,2158,23974.0,0.09001418203053307
2008-02-01,H,0,14736,14791.0,0.9962815225474951
2008-02-01,H,1,55,14791.0,0.0037184774525049016
2008-02-01,W,0,4617,4812.0,0.9594763092269327
2008-02-01,W,1,195,4812.0,0.040523690773067333
2008-03-01,A,0,1560,1590.0,0.9811320754716981
2008-03-01,A,1,30,1590.0,0.018867924528301886
2008-03-01,B,0,24786,24786.0,1.0
2008-03-01,H,0,15860,16143.0,0.9824691816886576
2008-03-01,H,1,283,16143.0,0.01753081831134238
2008-03-01,W,0,5277,5702.0,0.9254647492108032
2008-03-01,W,1,425,5702.0,0.07453525078919677
2008-04-01,A,0,1386,1467.0,0.9447852760736196
2008-04-01,A,1,81,1467.0,0.05521472392638037
2008-04-01,B,0,21918,22724.0,0.9645308924485125
2008-04-01,B,1,806,22724.0,0.03546910755148741
2008-04-01,H,0,14780,14857.0,0.9948172578582486
2008-04-01,H,1,77,14857.0,0.005182742141751363
2008-04-01,W,0,5465,5564.0,0.9822070452911574
2008-04-01,W,1,99,5564.0,0.01779295470884256
2008-05-01,A,0,1436,1436.0,1.0
2008-05-01,B,0,22422,22422.0,1.0
2008-05-01,H,0,15317,15317.0,1.0
2008-05-01,W,0,5505,5505.0,1.0
2008-06-01,A,0,1081,1103.0,0.9800543970988214
2008-06-01,A,1,22,1103.0,0.019945602901178604
2008-06-01,B,0,17509,17509.0,1.0
2008-06-01,H,0,11247,11311.0,0.9943417911767306
2008-06-01,H,1,64,11311.0,0.005658208823269384
2008-06-01,W,0,3985,3985.0,1.0
2008-07-01,A,0,1150,1150.0,1.0
2008-07-01,B,0,17612,17612.0,1.0
2008-07-01,H,0,11642,11881.0,0.9798838481609292
2008-07-01,H,1,239,11881.0,0.020116151839070784
2008-07-01,W,0,4173,4298.0,0.9709167054443928
2008-07-01,W,1,125,4298.0,0.02908329455560726
2008-08-01,A,0,1203,1203.0,1.0
2008-08-01,B,0,21061,21061.0,1.0
2008-08-01,H,0,12738,12738.0,1.0
2008-08-01,W,0,4303,4303.0,1.0
2008-09-01,A,0,1252,1304.0,0.9601226993865031
2008-09-01,A,1,52,1304.0,0.03987730061349693
2008-09-01,B,0,23888,23888.0,1.0
2008-09-01,H,0,13522,13615.0,0.9931692985677562
2008-09-01,H,1,93,13615.0,0.006830701432243849
2008-09-01,W,0,4785,4785.0,1.0
2008-10-01,A,0,1421,1421.0,1.0
2008-10-01,B,0,28358,28358.0,1.0
2008-10-01,H,0,15774,15884.0,0.9930747922437673
2008-10-01,H,1,110,15884.0,0.006925207756232687
2008-10-01,W,0,5372,5372.0,1.0
2008-11-01,A,0,1393,1445.0,0.9640138408304498
2008-11-01,A,1,52,1445.0,0.035986159169550176
2008-11-01,B,0,25798,25798.0,1.0
2008-11-01,H,0,14576,14576.0,1.0
2008-11-01,W,0,4797,4797.0,1.0
2008-12-01,A,0,1099,1207.0,0.9105219552609777
2008-12-01,A,1,108,1207.0,0.08947804473902236
2008-12-01,B,0,20792,20792.0,1.0
2008-12-01,H,0,11653,11763.0,0.9906486440533877
2008-12-01,H,1,110,11763.0,0.00935135594661226
2008-12-01,W,0,3507,3650.0,0.9608219178082191
2008-12-01,W,1,143,3650.0,0.03917808219178082
2009-01-01,A,0,1818,1872.0,0.9711538461538461
2009-01-01,A,1,54,1872.0,0.028846153846153848
2009-01-01,B,0,32041,32041.0,1.0
2009-01-01,H,0,18675,19437.0,0.9607964192004939
2009-01-01,H,1,762,19437.0,0.039203580799506095
2009-01-01,W,0,5323,5323.0,1.0
2009-02-01,A,0,1532,1601.0,0.9569019362898189
2009-02-01,A,1,69,1601.0,0.043098063710181135
2009-02-01,B,0,28672,28672.0,1.0
2009-02-01,H,0,17258,18639.0,0.9259080422769462
2009-02-01,H,1,1381,18639.0,0.07409195772305381
2009-02-01,W,0,5328,5328.0,1.0
2009-03-01,A,0,1590,1689.0,0.9413854351687388
2009-03-01,A,1,99,1689.0,0.0586145648312611
2009-03-01,B,0,29638,29638.0,1.0
2009-03-01,H,0,17630,18159.0,0.9708684398920645
2009-03-01,H,1,529,18159.0,0.02913156010793546
2009-03-01,W,0,5185,5276.0,0.9827520849128127
2009-03-01,W,1,91,5276.0,0.017247915087187263
2009-04-01,A,0,1459,1459.0,1.0
2009-04-01,B,0,27001,27001.0,1.0
2009-04-01,H,0,16320,16503.0,0.9889111070714416
2009-04-01,H,1,183,16503.0,0.011088892928558443
2009-04-01,W,0,4572,4731.0,0.9663918833227647
2009-04-01,W,1,159,4731.0,0.033608116677235254
2009-05-01,A,0,1329,1373.0,0.9679533867443554
2009-05-01,A,1,44,1373.0,0.032046613255644577
